,Labels,First Fit Score,First Fit Times,First Fit Decreasing Score,First Fit Decreasing Times,Next Fit Score,Next Fit Times,Next Fit Decreasing Score,Next Fit Decreasing Times,Best Fit Score,Best Fit Times,Best Fit Decreasing Score,Best Fit Decreasing Times,Djang-Fitch Score,Djang-Fitch Times,Djang-Fitch 2 Score,Djang-Fitch 2 Times
23,"(0, 0, 5, 25, 11, 10, 9, 1)",0.45539823970983345,0.12474900000000001,0.6531338700338,0.10466800000000001,0.3383510287461429,0.116717,0.4894015961595,0.13628900000000002,0.45748905158683345,0.370582,0.6532414506818001,0.3145,0.6531338700338,0.70987,0.6531338700338,0.748245
24,"(0, 4, 1, 25, 8, 8, 14, 1)",0.409117495382,0.131388,0.5942559298132,0.10713800000000001,0.3068001665608572,0.135931,0.584876643926,0.111449,0.3129364136411429,0.389307,0.5983046422284001,0.38143000000000005,0.5942559298132,1.020994,0.5942559298132,1.239136
25,"(0, 0, 4, 26, 10, 5, 15, 1)",0.4161793622358,0.16222,0.4738393305222,0.11217,0.3854705349382,0.14738700000000002,0.41260630971580003,0.160589,0.4161793622358,0.361908,0.62442535152775,0.362506,0.4738393305222,0.9898640000000001,0.4738393305222,0.9246800000000001
26,"(0, 2, 0, 28, 7, 7, 16, 1)",0.3424401733588,0.150204,0.5589970217985,0.11120600000000001,0.33650714748040006,0.128194,0.48078774231750004,0.133628,0.3424401733588,0.28706800000000005,0.5589970217985,0.334787,0.5589970217985,0.687212,0.5589970217985,0.5308080000000001
27,"(0, 1, 0, 29, 2, 13, 15, 1)",0.5300078386465,0.125674,0.4217379433028,0.10665100000000001,0.3388437680132,0.141373,0.5233189159015,0.11784900000000001,0.5300078386465,0.293435,0.5363781547905,0.30631600000000003,0.4217379433028,0.922223,0.4217379433028,0.585902
28,"(0, 0, 4, 26, 6, 5, 19, 1)",0.51737060914125,0.137558,0.57934367517875,0.12554200000000001,0.23674554241516665,0.139831,0.53514966278625,0.10577900000000001,0.5178368517112499,0.29107900000000003,0.4468769185258,0.31175,0.57934367517875,0.6124200000000001,0.57934367517875,1.086254
29,"(0, 1, 1, 28, 10, 6, 14, 1)",0.41290404770640016,0.12640600000000002,0.43593054276080007,0.13967300000000002,0.26154806856900004,0.154764,0.5505315242675001,0.108655,0.36601489797439996,0.48917200000000005,0.574205759773,0.399909,0.43593054276080007,0.954246,0.43593054276080007,0.960783
30,"(0, 1, 5, 24, 11, 9, 10, 1)",0.5159260648396666,0.12087700000000001,0.4998920027626667,0.11002100000000001,0.48755053356133327,0.118581,0.4910065827856667,0.109042,0.48842113038100005,0.352528,0.5018406051830001,0.34963500000000003,0.4998920027626667,0.8899570000000001,0.4998920027626667,0.903069
31,"(0, 0, 6, 24, 9, 9, 12, 1)",0.3036788175795713,0.137555,0.5783159612417998,0.10895700000000001,0.30561531110728574,0.131171,0.5949912293654,0.100954,0.40299456761383334,0.5085160000000001,0.5896761782326,0.467725,0.5783159612417998,0.801274,0.5783159612417998,1.65324
32,"(0, 0, 5, 25, 8, 10, 12, 1)",0.4136285621598333,0.13051500000000002,0.5884156334778,0.125192,0.3988167691021667,0.12662900000000002,0.5836657597226,0.11168,0.4158021591375,0.28515300000000005,0.5885110423577999,0.26766100000000004,0.5884156334778,0.8879520000000001,0.5884156334778,0.639028
