,Labels,First Fit Score,First Fit Times,First Fit Decreasing Score,First Fit Decreasing Times,Next Fit Score,Next Fit Times,Next Fit Decreasing Score,Next Fit Decreasing Times,Best Fit Score,Best Fit Times,Best Fit Decreasing Score,Best Fit Decreasing Times,Djang-Fitch Score,Djang-Fitch Times,Djang-Fitch 2 Score,Djang-Fitch 2 Times
773,"(0, 0, 5, 25, 5, 11, 14)",0.4988557374141999,0.13598000000000002,0.5876618635406,112457000,0.3484134157291667,0.138501,0.5057920283586,0.12746300000000002,0.49954081974780007,0.321091,0.5804925121494,0.33130800000000005,0.5876618635406,0.7839210000000001,0.5876618635406,0.827291
774,"(0, 1, 2, 27, 7, 7, 16)",0.39228228822160005,0.142259,0.4536719975832001,132568000,0.36219833074560004,0.12787900000000002,0.5857162470774999,0.11196500000000001,0.39278483587880003,0.36418500000000004,0.6011050843845,0.32199900000000004,0.4536719975832001,0.9221440000000001,0.4536719975832001,0.6324190000000001
775,"(0, 0, 4, 26, 7, 5, 18)",0.4374941676383333,0.15008100000000002,0.6059160371452,109734000,0.3146311601094286,0.127123,0.42681648173266656,0.123323,0.4378176531183333,0.28688,0.6057338798004,0.41971600000000003,0.6059160371452,0.681964,0.6059160371452,0.749886
776,"(0, 0, 1, 29, 7, 9, 14)",0.4463248420785,0.13245700000000002,0.44567711919016667,131533000,0.3275294085198571,0.12471700000000001,0.45017696116983336,0.119232,0.4466458595871667,0.31483300000000003,0.4469827446868333,0.279171,0.44567711919016667,0.8541240000000001,0.44567711919016667,0.752855
777,"(0, 1, 3, 26, 14, 6, 10)",0.4386180032375,0.119189,0.5153169970548334,109780000,0.3253755020418571,0.11478000000000001,0.5061786875798334,0.116925,0.43700391903283325,0.40866600000000003,0.6433903112217999,0.42770100000000005,0.5153169970548334,0.831763,0.5153169970548334,0.815767
778,"(0, 2, 6, 22, 7, 9, 14)",0.330161290271,0.139596,0.5701641795923333,151618000,0.332934584098,0.16390500000000002,0.5525579794416666,0.10490300000000001,0.32718999980975005,0.446213,0.5762456089623332,0.364589,0.5701641795923333,0.675439,0.5701641795923333,1.235367
779,"(0, 1, 4, 25, 13, 5, 12)",0.30151333007571424,0.150241,0.44207065110499993,109193000,0.2966510668802857,0.159898,0.39333227012,0.12334300000000001,0.3203799628594286,0.439112,0.558981828942,0.410324,0.44207065110499993,0.844238,0.44207065110499993,1.401521
780,"(0, 0, 2, 28, 9, 6, 15)",0.44267933350600003,0.139687,0.6640290012225,102454000,0.28842650210799997,0.134836,0.6304591515585001,0.093891,0.44267933350600003,0.311136,0.6640290012225,0.301033,0.6640290012225,0.764591,0.6640290012225,0.487711
781,"(0, 0, 2, 28, 5, 7, 18)",0.3679616455068,0.161838,0.5619692519545,109682000,0.3619781509688,0.139435,0.5356438745395,0.110546,0.37377957776119997,0.265177,0.5618418883615001,0.32338500000000003,0.5619692519545,0.7710140000000001,0.5619692519545,0.6633070000000001
782,"(0, 2, 2, 26, 10, 5, 15)",0.2838883179255,0.149014,0.57856509187425,111472000,0.2757418441421667,0.143157,0.3866977383326,0.14292200000000002,0.39154540655380005,0.36101700000000003,0.57502805398375,0.320367,0.57856509187425,0.9638420000000001,0.57856509187425,1.182811
783,"(0, 1, 1, 28, 8, 7, 15)",0.417323928459,0.13739400000000002,0.49431295898819994,115292000,0.31151631041783334,0.130914,0.4538213235082,0.115237,0.4175654974854,0.349323,0.49431295898819994,0.517329,0.49431295898819994,0.8311890000000001,0.49431295898819994,0.426763
784,"(0, 1, 1, 28, 6, 8, 16)",0.46296829731775,0.126438,0.5008741882827501,130670000,0.3037209598614,0.127438,0.49119528790875,0.136518,0.3544020490766,0.39888,0.5011206293187501,0.369439,0.5008741882827501,0.854535,0.5008741882827501,0.57503
785,"(0, 2, 3, 25, 7, 4, 19)",0.40012681644099996,0.12146100000000001,0.5865154326623999,97928000,0.38658941890366666,0.13087400000000002,0.5669156592516,0.101106,0.40547999004066665,0.673894,0.5865154326623999,0.5262490000000001,0.5865154326623999,0.996082,0.5865154326623999,1.2091040000000002
