,Labels,First Fit Score,First Fit Times,First Fit Decreasing Score,First Fit Decreasing Times,Next Fit Score,Next Fit Times,Next Fit Decreasing Score,Next Fit Decreasing Times,Best Fit Score,Best Fit Times,Best Fit Decreasing Score,Best Fit Decreasing Times,Djang-Fitch Score,Djang-Fitch Times
409,"(0, 3, 2, 25, 9, 9, 12)",0.32241459323428573,118619000,0.5936727509939999,111659000,0.30283123099485715,132292000,0.597680267522,103445000,0.324529598366,449843000,0.5909685409428,423243000,0.5936727509939999,928870000
410,"(0, 2, 2, 26, 12, 5, 13)",0.4497001800492,124001000,0.5315704063651999,105559000,0.34036666274400007,124611000,0.44107100236679997,127436000,0.44935534413239997,406239000,0.5144703516636,452169000,0.5315704063651999,878880000
411,"(0, 1, 1, 28, 8, 6, 16)",0.385252185493,161843000,0.5489850986188,115199000,0.35895247061700003,137725000,0.49422206231880006,103947000,0.38506474177800004,324339000,0.5315840020607998,412115000,0.5489850986188,766170000
412,"(0, 2, 4, 24, 8, 9, 13)",0.3521951576971429,132565000,0.6929329723196,122933000,0.26918995943574997,138366000,0.5024256536756667,129220000,0.3520067158845714,383171000,0.7071649893044,340092000,0.6929329723196,826453000
413,"(0, 0, 2, 28, 8, 6, 16)",0.40061020610975007,134579000,0.41675305784824995,124723000,0.39929025645075,138024000,0.39518874154124994,114126000,0.302496235817,542168000,0.45974152720325,421277000,0.41675305784824995,883571000
414,"(0, 3, 3, 24, 9, 9, 12)",0.6082249544386666,141648000,0.638271229447,120949000,0.4576299585131428,132602000,0.6079356432753333,100665000,0.4806821451482858,313402000,0.5023064578282856,434765000,0.638271229447,730499000
415,"(0, 0, 1, 29, 5, 8, 17)",0.454225208117,147453000,0.5101962295038,116060000,0.3232588345731667,123251000,0.4546937204302,136982000,0.4523900172434,292307000,0.5101962295038,292281000,0.5101962295038,807071000
416,"(0, 2, 1, 27, 8, 6, 16)",0.31114404188683337,150776000,0.6541354641012501,119573000,0.22564849618014282,137690000,0.4436870409402,145543000,0.3097018258628333,436434000,0.48891310928500004,424145000,0.6541354641012501,897810000
417,"(0, 2, 3, 25, 5, 10, 15)",0.3537680529026667,129595000,0.7389802107825,117641000,0.3421311228533333,143327000,0.7353907657534999,105050000,0.35918655466699995,514694000,0.5724736207691999,470919000,0.7389802107825,775605000
418,"(0, 1, 2, 27, 4, 10, 16)",0.43908717497619987,121839000,0.61681977552025,103949000,0.392728365421,119872000,0.61732929924825,103471000,0.41317173447340005,285262000,0.6308325179727501,321124000,0.61681977552025,993709000
419,"(0, 1, 0, 29, 3, 8, 19)",0.2827481898268,138946000,0.484907093089,107873000,0.2451817145112,156202000,0.42937488626700004,146364000,0.36912280978100004,348307000,0.484907093089,349709000,0.484907093089,939241000
420,"(0, 1, 4, 25, 6, 6, 18)",0.4057625576952001,135112000,0.4792711929476,110027000,0.2759228360506667,145688000,0.4028130109908,144036000,0.4186430362056,420715000,0.4911114897576,456064000,0.4792711929476,908451000
421,"(0, 2, 4, 24, 8, 6, 16)",0.348860667519,123111000,0.49357822614159996,116974000,0.3217565782083333,147501000,0.48954396559760005,113475000,0.35691720596499993,513149000,0.4896226130856,464574000,0.49357822614159996,1040843000
422,"(0, 2, 3, 25, 8, 7, 15)",0.36021041891414285,132506000,0.6785398623765999,100646000,0.272512788334625,148634000,0.47894670178483323,106794000,0.3611310751824286,385518000,0.5390109648471667,526752000,0.6785398623765999,735188000
423,"(0, 1, 3, 26, 8, 10, 12)",0.3642183424896667,137308000,0.567711036068,119831000,0.27776226072142857,141049000,0.54797751908,130796000,0.3642183424896667,349790000,0.5851929836976,346931000,0.567711036068,856467000
424,"(0, 1, 1, 28, 7, 5, 18)",0.4071197398242001,132723000,0.56369874710275,131066000,0.349292054119,149100000,0.3484517968166,121378000,0.54626649498875,392473000,0.5639273692277499,317979000,0.56369874710275,849427000
